epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.38089,2.76366,4.44352,1.68598,0,0,0,0,2.34082,4.22098,1.39943,0.08317,0.00017,0.00017
2,11.8664,2.26748,4.07498,1.28482,0,0,0,0,2.21132,4.13051,1.24902,0.0653484,0.000348425,0.000348425
3,17.474,1.95511,3.76435,1.17692,0.02497,0.25,0.20106,0.07556,2.02067,3.84802,1.10232,0.0475252,0.00052523,0.00052523
4,23.1,1.97508,3.51214,1.12241,0.02497,0.25,0.20106,0.07556,2.02067,3.84802,1.10232,0.0297004,0.000700415,0.000700415
5,28.6547,1.96856,3.31384,1.12135,0.8223,0.18119,0.30438,0.12468,2.07467,3.32122,1.13233,0.011874,0.00087398,0.00087398
6,34.3196,2.00782,3.15201,1.15019,0.8223,0.18119,0.30438,0.12468,2.07467,3.32122,1.13233,0.0009775,0.0009775,0.0009775
7,40.0951,2.03023,2.80373,1.11155,0.8831,0.30288,0.36229,0.12929,2.07245,2.48106,1.15382,0.000973,0.000973,0.000973
8,45.9279,1.90911,2.72056,1.10845,0.71586,0.37736,0.34018,0.17642,1.86709,2.61358,1.13159,0.0009685,0.0009685,0.0009685
9,51.6753,2.04328,2.57205,1.16425,0.71586,0.37736,0.34018,0.17642,1.86709,2.61358,1.13159,0.000964,0.000964,0.000964
10,58.0106,1.96282,2.61104,1.16194,0.75719,0.39933,0.38061,0.17647,1.95162,3.2788,1.19307,0.0009595,0.0009595,0.0009595
11,63.6206,1.98996,2.25182,1.18673,0.75719,0.39933,0.38061,0.17647,1.95162,3.2788,1.19307,0.000955,0.000955,0.000955
12,69.1512,1.84575,2.15279,1.15168,0.75755,0.42902,0.39914,0.16832,1.99323,2.54115,1.21359,0.0009505,0.0009505,0.0009505
13,74.3743,1.93187,2.04099,1.11084,0.75755,0.42902,0.39914,0.16832,1.99323,2.54115,1.21359,0.000946,0.000946,0.000946
14,79.7125,1.96816,2.1567,1.15616,0.42495,0.51691,0.43854,0.21159,1.90242,1.93122,1.17706,0.0009415,0.0009415,0.0009415
15,84.9884,1.93589,2.13763,1.15152,0.42495,0.51691,0.43854,0.21159,1.90242,1.93122,1.17706,0.000937,0.000937,0.000937
16,90.4408,1.83568,2.14093,1.14166,0.30024,0.6875,0.44794,0.23713,1.87297,1.60681,1.15617,0.0009325,0.0009325,0.0009325
17,95.8874,1.81675,1.92135,1.08796,0.35147,0.69488,0.47164,0.21718,1.9152,1.55185,1.1656,0.000928,0.000928,0.000928
18,101.391,1.94048,1.96205,1.14072,0.35147,0.69488,0.47164,0.21718,1.9152,1.55185,1.1656,0.0009235,0.0009235,0.0009235
19,106.873,1.89575,1.93618,1.15123,0.35655,0.75105,0.50225,0.19902,1.93446,1.53465,1.15851,0.000919,0.000919,0.000919
20,112.216,1.84841,1.83673,1.13513,0.35655,0.75105,0.50225,0.19902,1.93446,1.53465,1.15851,0.0009145,0.0009145,0.0009145
21,117.666,1.93605,1.89911,1.19775,0.39001,0.73236,0.54451,0.22532,1.87968,1.41242,1.14347,0.00091,0.00091,0.00091
22,123.118,1.74018,1.75133,1.11292,0.39001,0.73236,0.54451,0.22532,1.87968,1.41242,1.14347,0.0009055,0.0009055,0.0009055
23,128.663,1.86853,1.67647,1.20948,0.395,0.65844,0.52587,0.21359,1.94296,1.33634,1.16634,0.000901,0.000901,0.000901
24,134.291,1.90591,1.66747,1.08503,0.44068,0.69779,0.54311,0.22277,1.96443,1.32018,1.16897,0.0008965,0.0008965,0.0008965
25,139.748,1.80441,1.62915,1.14917,0.44068,0.69779,0.54311,0.22277,1.96443,1.32018,1.16897,0.000892,0.000892,0.000892
26,145.045,1.84219,1.65232,1.10053,0.47811,0.71599,0.59676,0.25235,1.9426,1.30521,1.15967,0.0008875,0.0008875,0.0008875
27,150.407,1.80342,1.62413,1.09599,0.47811,0.71599,0.59676,0.25235,1.9426,1.30521,1.15967,0.000883,0.000883,0.000883
28,155.535,1.76933,1.49976,1.10875,0.5084,0.83281,0.61427,0.27432,1.90085,1.34797,1.13691,0.0008785,0.0008785,0.0008785
29,160.809,1.83339,1.57703,1.10219,0.5084,0.83281,0.61427,0.27432,1.90085,1.34797,1.13691,0.000874,0.000874,0.000874
30,166.112,1.80949,1.63554,1.08996,0.49933,0.75014,0.65222,0.27498,1.91304,1.38219,1.1406,0.0008695,0.0008695,0.0008695
31,171.365,1.77101,1.52852,1.12572,0.49933,0.75014,0.65222,0.27498,1.91304,1.38219,1.1406,0.000865,0.000865,0.000865
32,176.471,1.83776,1.55719,1.07895,0.49546,0.74884,0.64622,0.28683,1.9317,1.3609,1.14155,0.0008605,0.0008605,0.0008605
33,181.923,1.71588,1.55593,1.12281,0.66153,0.60886,0.71183,0.33126,1.86262,1.30131,1.1108,0.000856,0.000856,0.000856
34,187.221,1.75253,1.55095,1.0838,0.66153,0.60886,0.71183,0.33126,1.86262,1.30131,1.1108,0.0008515,0.0008515,0.0008515
35,192.511,1.8502,1.51284,1.14284,0.51167,0.78292,0.65651,0.30787,1.86606,1.24114,1.10378,0.000847,0.000847,0.000847
36,197.642,1.7253,1.42709,1.10117,0.51167,0.78292,0.65651,0.30787,1.86606,1.24114,1.10378,0.0008425,0.0008425,0.0008425
37,202.76,1.75009,1.44783,1.08778,0.51777,0.83671,0.65281,0.28261,1.90026,1.21659,1.11555,0.000838,0.000838,0.000838
38,207.9,1.69349,1.37212,1.1055,0.51777,0.83671,0.65281,0.28261,1.90026,1.21659,1.11555,0.0008335,0.0008335,0.0008335
39,213.082,1.76381,1.47809,1.08327,0.55701,0.85086,0.66757,0.27858,1.88759,1.19042,1.11855,0.000829,0.000829,0.000829
40,218.236,1.70903,1.42135,1.09013,0.58249,0.88396,0.71209,0.31251,1.82755,1.1639,1.10264,0.0008245,0.0008245,0.0008245
41,223.435,1.81881,1.38871,1.13909,0.58249,0.88396,0.71209,0.31251,1.82755,1.1639,1.10264,0.00082,0.00082,0.00082
42,228.531,1.74825,1.3298,1.08797,0.64579,0.87011,0.80201,0.37222,1.76705,1.1133,1.08549,0.0008155,0.0008155,0.0008155
43,233.816,1.65319,1.30951,1.08327,0.64579,0.87011,0.80201,0.37222,1.76705,1.1133,1.08549,0.000811,0.000811,0.000811
44,239,1.72567,1.40234,1.10819,0.67124,0.86576,0.84843,0.37557,1.79584,1.12103,1.09373,0.0008065,0.0008065,0.0008065
45,244.003,1.6818,1.36268,1.06562,0.67124,0.86576,0.84843,0.37557,1.79584,1.12103,1.09373,0.000802,0.000802,0.000802
46,249.291,1.64359,1.33141,1.0819,0.69523,0.8195,0.84593,0.36608,1.84058,1.15494,1.11348,0.0007975,0.0007975,0.0007975
47,254.499,1.68253,1.27636,1.09628,0.69523,0.8195,0.84593,0.36608,1.84058,1.15494,1.11348,0.000793,0.000793,0.000793
48,259.677,1.73571,1.37142,1.11272,0.6714,0.81567,0.82692,0.35125,1.90711,1.13829,1.1404,0.0007885,0.0007885,0.0007885
49,264.779,1.68801,1.33397,1.09311,0.80934,0.81048,0.86778,0.36402,1.90678,1.06715,1.13518,0.000784,0.000784,0.000784
50,269.976,1.6025,1.21125,1.07057,0.80934,0.81048,0.86778,0.36402,1.90678,1.06715,1.13518,0.0007795,0.0007795,0.0007795
51,275.24,1.68579,1.28792,1.08008,0.7774,0.86833,0.87548,0.37662,1.88134,1.04632,1.11848,0.000775,0.000775,0.000775
52,280.247,1.55697,1.16853,1.07393,0.7774,0.86833,0.87548,0.37662,1.88134,1.04632,1.11848,0.0007705,0.0007705,0.0007705
53,285.526,1.64366,1.21205,1.06895,0.80611,0.83594,0.88775,0.3999,1.81998,1.01754,1.1034,0.000766,0.000766,0.000766
54,290.641,1.63619,1.21834,1.03113,0.80611,0.83594,0.88775,0.3999,1.81998,1.01754,1.1034,0.0007615,0.0007615,0.0007615
55,295.838,1.69095,1.1665,1.02479,0.81716,0.90004,0.89342,0.39738,1.87242,1.00753,1.11448,0.000757,0.000757,0.000757
56,300.881,1.64853,1.1782,1.07676,0.8075,0.86343,0.87007,0.39927,1.86154,0.99859,1.11113,0.0007525,0.0007525,0.0007525
57,305.874,1.79476,1.26165,1.13379,0.8075,0.86343,0.87007,0.39927,1.86154,0.99859,1.11113,0.000748,0.000748,0.000748
58,311.087,1.69798,1.28259,1.0759,0.85171,0.88281,0.88639,0.40004,1.85643,0.98004,1.11574,0.0007435,0.0007435,0.0007435
59,316.342,1.74601,1.18469,1.07247,0.85171,0.88281,0.88639,0.40004,1.85643,0.98004,1.11574,0.000739,0.000739,0.000739
60,321.451,1.73788,1.2278,1.05681,0.82549,0.88144,0.85818,0.40833,1.80388,0.95108,1.10204,0.0007345,0.0007345,0.0007345
61,326.617,1.61964,1.16535,1.06688,0.82549,0.88144,0.85818,0.40833,1.80388,0.95108,1.10204,0.00073,0.00073,0.00073
62,331.914,1.64767,1.13181,1.05621,0.8473,0.89554,0.875,0.43211,1.74722,0.92288,1.09096,0.0007255,0.0007255,0.0007255
63,336.993,1.61489,1.21166,1.03656,0.8473,0.89554,0.875,0.43211,1.74722,0.92288,1.09096,0.000721,0.000721,0.000721
64,342.245,1.58456,1.09503,1.09008,0.80097,0.92604,0.91852,0.42931,1.73315,0.94183,1.08768,0.0007165,0.0007165,0.0007165
65,347.543,1.60215,1.12394,1.03426,0.80902,0.92026,0.91814,0.40267,1.8018,0.9965,1.09232,0.000712,0.000712,0.000712
66,352.782,1.62096,1.18683,1.04929,0.80902,0.92026,0.91814,0.40267,1.8018,0.9965,1.09232,0.0007075,0.0007075,0.0007075
67,358.107,1.61443,1.12777,1.0149,0.77516,0.89932,0.89459,0.3797,1.86363,0.98494,1.10662,0.000703,0.000703,0.000703
68,363.172,1.58992,1.12648,1.06447,0.77516,0.89932,0.89459,0.3797,1.86363,0.98494,1.10662,0.0006985,0.0006985,0.0006985
69,368.437,1.60554,1.14996,1.08969,0.78088,0.89928,0.88755,0.39231,1.83066,0.97092,1.09608,0.000694,0.000694,0.000694
70,373.539,1.69326,1.17014,1.08917,0.78088,0.89928,0.88755,0.39231,1.83066,0.97092,1.09608,0.0006895,0.0006895,0.0006895
71,378.864,1.67369,1.15046,1.07589,0.82241,0.86222,0.89791,0.41694,1.7856,1.00655,1.08473,0.000685,0.000685,0.000685
72,384.193,1.61389,1.06657,1.06112,0.81786,0.88625,0.89835,0.4131,1.75165,0.95669,1.0789,0.0006805,0.0006805,0.0006805
73,389.468,1.61903,1.10674,1.03633,0.81786,0.88625,0.89835,0.4131,1.75165,0.95669,1.0789,0.000676,0.000676,0.000676
74,394.426,1.66457,1.0846,1.07176,0.8221,0.89935,0.90051,0.41841,1.75794,0.92742,1.08656,0.0006715,0.0006715,0.0006715
75,399.75,1.56102,1.03634,1.03729,0.8221,0.89935,0.90051,0.41841,1.75794,0.92742,1.08656,0.000667,0.000667,0.000667
76,404.937,1.60927,1.10284,1.05403,0.84304,0.8706,0.90728,0.42168,1.79072,0.95316,1.09842,0.0006625,0.0006625,0.0006625
77,410.293,1.57087,1.03112,1.0031,0.84304,0.8706,0.90728,0.42168,1.79072,0.95316,1.09842,0.000658,0.000658,0.000658
78,415.588,1.54562,1.06363,1.04298,0.83604,0.84103,0.86294,0.4078,1.82354,1.00241,1.109,0.0006535,0.0006535,0.0006535
79,420.934,1.55524,1.09611,1.0653,0.83604,0.84103,0.86294,0.4078,1.82354,1.00241,1.109,0.000649,0.000649,0.000649
80,426.236,1.57455,1.10762,1.07105,0.85977,0.8266,0.8604,0.40196,1.81082,0.95815,1.11156,0.0006445,0.0006445,0.0006445
81,431.631,1.62621,1.04625,1.06712,0.82012,0.90648,0.90628,0.42064,1.78122,0.90761,1.10203,0.00064,0.00064,0.00064
82,436.775,1.62915,1.06028,1.01189,0.82012,0.90648,0.90628,0.42064,1.78122,0.90761,1.10203,0.0006355,0.0006355,0.0006355
83,441.894,1.64985,1.19556,1.05786,0.81564,0.91326,0.91831,0.41571,1.77298,0.90504,1.09459,0.000631,0.000631,0.000631
84,447.044,1.63229,1.11297,1.04158,0.81564,0.91326,0.91831,0.41571,1.77298,0.90504,1.09459,0.0006265,0.0006265,0.0006265
85,452.37,1.53598,1.04645,1.00626,0.83441,0.9175,0.91999,0.42852,1.77129,0.91141,1.09191,0.000622,0.000622,0.000622
86,457.544,1.67095,1.08462,1.05169,0.83441,0.9175,0.91999,0.42852,1.77129,0.91141,1.09191,0.0006175,0.0006175,0.0006175
87,462.876,1.59378,1.00602,1.06701,0.8335,0.91423,0.90651,0.43422,1.76729,0.9048,1.09292,0.000613,0.000613,0.000613
88,468.32,1.63522,1.07585,1.05423,0.85181,0.92423,0.91505,0.44117,1.74706,0.8829,1.08632,0.0006085,0.0006085,0.0006085
89,473.566,1.58278,1.08311,1.08842,0.85181,0.92423,0.91505,0.44117,1.74706,0.8829,1.08632,0.000604,0.000604,0.000604
90,478.817,1.56369,0.99603,1.02471,0.82173,0.89043,0.8946,0.43977,1.74403,0.88771,1.08811,0.0005995,0.0005995,0.0005995
91,484.042,1.57696,1.01922,1.05694,0.82173,0.89043,0.8946,0.43977,1.74403,0.88771,1.08811,0.000595,0.000595,0.000595
92,489.251,1.54711,0.9849,1.01687,0.84568,0.86719,0.91692,0.4453,1.71821,0.89742,1.08276,0.0005905,0.0005905,0.0005905
93,494.621,1.61972,1.04349,1.0448,0.84568,0.86719,0.91692,0.4453,1.71821,0.89742,1.08276,0.000586,0.000586,0.000586
94,500.027,1.5965,1.08865,1.03102,0.82945,0.90079,0.91192,0.43719,1.70277,0.89263,1.07773,0.0005815,0.0005815,0.0005815
95,505.234,1.571,1.01101,1.04574,0.82945,0.90079,0.91192,0.43719,1.70277,0.89263,1.07773,0.000577,0.000577,0.000577
96,510.548,1.60604,1.07002,1.02429,0.89026,0.89827,0.9248,0.43758,1.68868,0.88884,1.07307,0.0005725,0.0005725,0.0005725
97,515.633,1.61425,1.05259,1.05434,0.8536,0.90625,0.92638,0.43794,1.70571,0.90325,1.07622,0.000568,0.000568,0.000568
98,520.904,1.56104,1.07954,1.02457,0.8536,0.90625,0.92638,0.43794,1.70571,0.90325,1.07622,0.0005635,0.0005635,0.0005635
99,526.142,1.60487,1.02773,1.02288,0.85028,0.89555,0.88941,0.41301,1.7689,0.93113,1.09205,0.000559,0.000559,0.000559
100,531.358,1.56972,0.96961,1.02862,0.85028,0.89555,0.88941,0.41301,1.7689,0.93113,1.09205,0.0005545,0.0005545,0.0005545
101,536.577,1.58236,1.01613,1.05273,0.8384,0.875,0.86059,0.39675,1.80848,0.92053,1.10564,0.00055,0.00055,0.00055
102,541.824,1.61206,1.02464,1.05146,0.8384,0.875,0.86059,0.39675,1.80848,0.92053,1.10564,0.0005455,0.0005455,0.0005455
103,547.09,1.55026,0.96469,1.00544,0.82826,0.87719,0.89333,0.40642,1.78007,0.90037,1.10364,0.000541,0.000541,0.000541
104,552.353,1.5917,1.02556,1.05153,0.83985,0.89394,0.9166,0.40939,1.76579,0.87206,1.0986,0.0005365,0.0005365,0.0005365
105,557.496,1.59445,1.00839,1.04021,0.83985,0.89394,0.9166,0.40939,1.76579,0.87206,1.0986,0.000532,0.000532,0.000532
106,562.79,1.63286,1.0771,1.0461,0.82156,0.90921,0.88387,0.41369,1.78577,0.8665,1.10259,0.0005275,0.0005275,0.0005275
107,568.391,1.52061,1.02593,0.9996,0.82156,0.90921,0.88387,0.41369,1.78577,0.8665,1.10259,0.000523,0.000523,0.000523
108,573.87,1.53977,1.00353,1.04514,0.8366,0.90804,0.90046,0.41434,1.79494,0.86904,1.10641,0.0005185,0.0005185,0.0005185
109,579.039,1.54815,0.9774,1.04425,0.8366,0.90804,0.90046,0.41434,1.79494,0.86904,1.10641,0.000514,0.000514,0.000514
110,584.391,1.51594,0.95943,1.02736,0.85112,0.93256,0.91432,0.41783,1.78421,0.85697,1.09896,0.0005095,0.0005095,0.0005095
111,589.461,1.53798,0.96807,1.01855,0.85112,0.93256,0.91432,0.41783,1.78421,0.85697,1.09896,0.000505,0.000505,0.000505
112,594.625,1.50938,1.03746,1.05157,0.86112,0.94687,0.92639,0.42414,1.78041,0.85011,1.09526,0.0005005,0.0005005,0.0005005
113,599.607,1.51189,0.92438,1.02939,0.86104,0.94067,0.91788,0.42683,1.77302,0.85766,1.09369,0.000496,0.000496,0.000496
114,604.843,1.52164,0.97026,1.05239,0.86104,0.94067,0.91788,0.42683,1.77302,0.85766,1.09369,0.0004915,0.0004915,0.0004915
115,610.062,1.59892,0.99949,1.03013,0.85223,0.90625,0.90678,0.42723,1.76815,0.86227,1.09237,0.000487,0.000487,0.000487
116,615.209,1.49532,0.91436,0.98469,0.85223,0.90625,0.90678,0.42723,1.76815,0.86227,1.09237,0.0004825,0.0004825,0.0004825
117,620.459,1.52662,0.93669,1.00146,0.863,0.91433,0.91495,0.43459,1.7411,0.85775,1.08704,0.000478,0.000478,0.000478
118,625.484,1.51058,0.93312,1.02278,0.863,0.91433,0.91495,0.43459,1.7411,0.85775,1.08704,0.0004735,0.0004735,0.0004735
119,630.688,1.48365,0.99822,1.0076,0.84517,0.9246,0.91313,0.45216,1.70689,0.856,1.07757,0.000469,0.000469,0.000469
120,635.676,1.49073,0.94585,0.99424,0.85512,0.89136,0.91344,0.45046,1.7009,0.86558,1.06791,0.0004645,0.0004645,0.0004645
121,640.83,1.53857,1.06466,1.05751,0.85512,0.89136,0.91344,0.45046,1.7009,0.86558,1.06791,0.00046,0.00046,0.00046
122,646.076,1.57617,1.02129,1.05986,0.87899,0.87094,0.90287,0.43947,1.72001,0.87026,1.06613,0.0004555,0.0004555,0.0004555
123,651.173,1.5307,1.01272,1.03559,0.87899,0.87094,0.90287,0.43947,1.72001,0.87026,1.06613,0.000451,0.000451,0.000451
124,656.412,1.5392,1.02159,1.05174,0.81723,0.89716,0.89118,0.42951,1.74008,0.8842,1.07034,0.0004465,0.0004465,0.0004465
125,661.609,1.50677,0.95329,0.9957,0.81723,0.89716,0.89118,0.42951,1.74008,0.8842,1.07034,0.000442,0.000442,0.000442
126,666.855,1.54407,1.01352,1.01789,0.82511,0.91164,0.90501,0.41738,1.77903,0.88595,1.08726,0.0004375,0.0004375,0.0004375
127,671.935,1.52272,0.95347,1.01486,0.82511,0.91164,0.90501,0.41738,1.77903,0.88595,1.08726,0.000433,0.000433,0.000433
128,676.971,1.46862,0.95712,0.99225,0.82212,0.9037,0.8861,0.40662,1.8105,0.86641,1.10451,0.0004285,0.0004285,0.0004285
129,682.197,1.58599,1.05895,1.05479,0.84706,0.92081,0.89391,0.41567,1.79291,0.8446,1.10714,0.000424,0.000424,0.000424
130,687.299,1.56006,0.90991,1.04611,0.84706,0.92081,0.89391,0.41567,1.79291,0.8446,1.10714,0.0004195,0.0004195,0.0004195
131,692.649,1.59608,1.03134,1.03217,0.85393,0.90363,0.88169,0.42083,1.76075,0.8325,1.10131,0.000415,0.000415,0.000415
132,697.829,1.4725,0.91161,0.9913,0.85393,0.90363,0.88169,0.42083,1.76075,0.8325,1.10131,0.0004105,0.0004105,0.0004105
133,703.344,1.55386,0.93029,1.05125,0.86401,0.90296,0.91729,0.42751,1.73586,0.82781,1.09749,0.000406,0.000406,0.000406
134,709.005,1.53605,0.92095,1.05581,0.86401,0.90296,0.91729,0.42751,1.73586,0.82781,1.09749,0.0004015,0.0004015,0.0004015
135,714.311,1.4935,0.97647,1.03139,0.83264,0.91304,0.90651,0.44135,1.71512,0.83855,1.09102,0.000397,0.000397,0.000397
136,719.786,1.54379,0.99925,1.07193,0.84587,0.91699,0.92528,0.43567,1.73609,0.86236,1.09257,0.0003925,0.0003925,0.0003925
137,725.291,1.51154,0.95785,1.00209,0.84587,0.91699,0.92528,0.43567,1.73609,0.86236,1.09257,0.000388,0.000388,0.000388
