epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.21685,1.60905,2.88215,1.53182,0.00805,1,0.52823,0.27065,1.18022,2.82226,1.14218,0.08317,0.00017,0.00017
2,11.4229,1.33237,2.51459,1.40302,0.00808,1,0.64228,0.30873,1.19144,2.74795,1.14249,0.0653469,0.00034685,0.00034685
3,16.5198,1.26755,2.18668,1.31339,0.01493,1,0.68245,0.37821,0.989,2.40014,1.10451,0.0475205,0.00052046,0.00052046
4,21.6977,1.32014,2.14066,1.37905,0.01493,1,0.68245,0.37821,0.989,2.40014,1.10451,0.0296908,0.00069083,0.00069083
5,26.8125,1.25576,1.92825,1.27739,0.56371,0.85906,0.82866,0.41902,1.21714,1.86486,1.19751,0.011858,0.00085796,0.00085796
6,32.0233,1.34162,1.93592,1.3259,0.56371,0.85906,0.82866,0.41902,1.21714,1.86486,1.19751,0.000955,0.000955,0.000955
7,36.9903,1.2839,1.71851,1.28977,0.6147,0.7,0.75947,0.26466,1.83795,1.93243,1.45654,0.000946,0.000946,0.000946
8,42.071,1.44287,1.90562,1.44687,0.56684,0.82508,0.7071,0.23196,1.74022,2.01106,1.44706,0.000937,0.000937,0.000937
9,47.2117,1.4013,1.80196,1.4054,0.56684,0.82508,0.7071,0.23196,1.74022,2.01106,1.44706,0.000928,0.000928,0.000928
10,52.2314,1.30508,1.89947,1.32123,0.74107,0.85048,0.85161,0.37809,1.47639,1.69207,1.38025,0.000919,0.000919,0.000919
11,57.4419,1.20959,1.74726,1.30137,0.74107,0.85048,0.85161,0.37809,1.47639,1.69207,1.38025,0.00091,0.00091,0.00091
12,62.6724,1.35875,1.73345,1.37945,0.60819,0.77778,0.73465,0.34169,1.57122,1.59301,1.44947,0.000901,0.000901,0.000901
13,67.5591,1.2114,1.63544,1.25928,0.60819,0.77778,0.73465,0.34169,1.57122,1.59301,1.44947,0.000892,0.000892,0.000892
14,72.5667,1.20308,1.70863,1.27057,0.9321,0.59444,0.71972,0.32714,1.63483,1.81112,1.51325,0.000883,0.000883,0.000883
15,77.4171,1.32653,1.68475,1.3082,0.9321,0.59444,0.71972,0.32714,1.63483,1.81112,1.51325,0.000874,0.000874,0.000874
16,82.5417,1.27891,1.69536,1.31426,0.61082,0.66667,0.70163,0.36263,1.36363,1.65239,1.325,0.000865,0.000865,0.000865
17,87.7109,1.21089,1.5279,1.23305,0.79608,0.77778,0.8161,0.40746,1.34539,1.67532,1.32177,0.000856,0.000856,0.000856
18,92.8975,1.27777,1.78456,1.37726,0.79608,0.77778,0.8161,0.40746,1.34539,1.67532,1.32177,0.000847,0.000847,0.000847
19,97.9582,1.19051,1.69285,1.26864,0.90821,0.90327,0.95387,0.43164,1.55013,1.61431,1.45203,0.000838,0.000838,0.000838
20,102.98,1.20865,1.5125,1.27443,0.90821,0.90327,0.95387,0.43164,1.55013,1.61431,1.45203,0.000829,0.000829,0.000829
21,108.118,1.23704,1.60147,1.32504,0.96975,0.81667,0.91141,0.40676,1.77627,1.47728,1.57249,0.00082,0.00082,0.00082
22,113.143,1.27371,1.59989,1.33696,0.96975,0.81667,0.91141,0.40676,1.77627,1.47728,1.57249,0.000811,0.000811,0.000811
23,118.212,1.24493,1.52811,1.27073,0.90752,0.8092,0.88174,0.43975,1.82395,1.46177,1.60762,0.000802,0.000802,0.000802
24,123.411,1.13929,1.5712,1.23338,0.98565,0.83333,0.94287,0.48818,1.7104,1.39536,1.4895,0.000793,0.000793,0.000793
25,128.474,1.2402,1.54507,1.25038,0.98565,0.83333,0.94287,0.48818,1.7104,1.39536,1.4895,0.000784,0.000784,0.000784
26,133.509,1.17516,1.45092,1.30929,0.85067,0.8944,0.97889,0.50878,1.64524,1.49738,1.39437,0.000775,0.000775,0.000775
27,138.7,1.32228,1.67354,1.41805,0.85067,0.8944,0.97889,0.50878,1.64524,1.49738,1.39437,0.000766,0.000766,0.000766
28,143.682,1.21002,1.44349,1.25671,0.64277,0.99438,0.985,0.45518,1.72264,1.73163,1.43373,0.000757,0.000757,0.000757
29,148.827,1.27065,1.52567,1.3518,0.64277,0.99438,0.985,0.45518,1.72264,1.73163,1.43373,0.000748,0.000748,0.000748
