epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.41803,2.1091,4.44304,1.1383,0,0,0,0,1.61786,4.2838,1.0348,0.08416,0.00016,0.00016
2,10.1235,1.75872,3.85129,1.0609,0,0,0,0,1.5293,4.17257,1.00885,0.0673263,0.000326287,0.000326287
3,14.6971,1.74541,3.43171,1.04488,0.0028,0.26667,0.0675,0.02075,1.5696,4.0361,1.00039,0.0504888,0.00048875,0.00048875
4,19.3477,1.80656,3.04935,1.18272,0.01045,1,0.3435,0.15136,1.6702,3.73206,1.02194,0.0336474,0.000647388,0.000647388
5,23.9381,1.62867,2.77909,1.06009,0.09655,1,0.34547,0.17851,1.71052,2.89204,1.05885,0.0168022,0.0008022,0.0008022
6,28.7213,1.49999,2.6155,0.94333,0.09655,1,0.34547,0.17851,1.71052,2.89204,1.05885,0.00094375,0.00094375,0.00094375
7,33.2688,1.4907,2.56582,0.95638,0.38627,0.72758,0.57713,0.234,2.1038,2.83844,1.21189,0.0009325,0.0009325,0.0009325
8,37.6955,1.66824,2.84695,1.09503,0.38627,0.72758,0.57713,0.234,2.1038,2.83844,1.21189,0.00092125,0.00092125,0.00092125
9,42.3857,1.65223,2.53626,1.11823,0.5639,0.86111,0.69156,0.25817,2.16159,2.99555,1.22821,0.00091,0.00091,0.00091
10,46.8317,1.6394,2.3546,1.02995,0.5639,0.86111,0.69156,0.25817,2.16159,2.99555,1.22821,0.00089875,0.00089875,0.00089875
11,51.3907,1.53661,2.22785,1.01581,0.42765,0.71111,0.58363,0.29049,1.72452,2.6498,1.09185,0.0008875,0.0008875,0.0008875
12,56.1126,1.5478,2.33365,1.014,0.42765,0.71111,0.58363,0.29049,1.72452,2.6498,1.09185,0.00087625,0.00087625,0.00087625
13,60.5256,1.63339,2.14807,1.1237,0.31982,0.84605,0.634,0.3249,1.72725,2.40334,1.10254,0.000865,0.000865,0.000865
14,65.0387,1.59076,2.0771,1.06419,0.31982,0.84605,0.634,0.3249,1.72725,2.40334,1.10254,0.00085375,0.00085375,0.00085375
15,69.5098,1.48187,2.20778,1.02116,0.34443,0.73333,0.72333,0.33033,1.84156,2.50663,1.11437,0.0008425,0.0008425,0.0008425
16,73.9525,1.62006,2.17861,1.04658,0.94456,0.5711,0.74901,0.34415,1.83278,1.929,1.09993,0.00083125,0.00083125,0.00083125
17,78.526,1.49344,1.78461,0.97797,0.94456,0.5711,0.74901,0.34415,1.83278,1.929,1.09993,0.00082,0.00082,0.00082
18,83.2035,1.42617,1.77915,0.91893,0.50103,0.76277,0.795,0.40325,1.76478,1.83401,1.06656,0.00080875,0.00080875,0.00080875
19,87.8562,1.47181,1.89648,1.0166,0.50103,0.76277,0.795,0.40325,1.76478,1.83401,1.06656,0.0007975,0.0007975,0.0007975
20,92.1298,1.3522,1.89659,0.98767,0.5426,0.98793,0.82008,0.393,1.8378,1.714,1.07996,0.00078625,0.00078625,0.00078625
