epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.88498,1.53674,3.57007,1.43299,0.00216,0.5,0.16478,0.11826,1.27653,3.75616,1.36744,0.08713,0.00013,0.00013
2,8.33775,1.39972,3.35298,1.38139,0.01039,0.97222,0.22445,0.12606,1.0533,3.57756,1.20313,0.0732688,0.000268785,0.000268785
3,12.0579,1.4473,3.03007,1.4198,0.01026,1,0.43995,0.26066,0.99521,3.43431,1.15012,0.0594063,0.00040631,0.00040631
4,15.7875,1.3379,2.88495,1.36018,0.0097,1,0.63122,0.36284,1.07497,3.11258,1.19483,0.0455426,0.000542575,0.000542575
5,19.1364,1.36181,2.68258,1.32288,0.0097,1,0.63122,0.36284,1.07497,3.11258,1.19483,0.0316776,0.00067758,0.00067758
6,22.7636,1.35503,2.50286,1.33774,0.52806,0.61884,0.5057,0.21385,1.51119,2.57413,1.48084,0.0178113,0.000811325,0.000811325
7,26.4632,1.51488,2.66873,1.39171,0.52806,0.61884,0.5057,0.21385,1.51119,2.57413,1.48084,0.00394381,0.00094381,0.00094381
8,30.0244,1.43618,2.51856,1.40344,0.22124,0.93333,0.47498,0.2346,1.5311,3.05979,1.47611,0.0009685,0.0009685,0.0009685
9,33.5568,1.3893,2.31658,1.38888,0.22124,0.93333,0.47498,0.2346,1.5311,3.05979,1.47611,0.000964,0.000964,0.000964
10,36.9506,1.36712,2.19569,1.36176,0.22124,0.93333,0.47498,0.2346,1.5311,3.05979,1.47611,0.0009595,0.0009595,0.0009595
11,40.5008,1.39053,2.13632,1.39852,0.35878,0.88955,0.58524,0.34791,1.38891,2.48629,1.32137,0.000955,0.000955,0.000955
12,44.1194,1.31957,2.14772,1.36031,0.35878,0.88955,0.58524,0.34791,1.38891,2.48629,1.32137,0.0009505,0.0009505,0.0009505
13,47.6878,1.49745,2.15991,1.43754,0.68638,0.50097,0.61893,0.30865,1.59127,2.1247,1.53231,0.000946,0.000946,0.000946
14,51.1433,1.37711,2.18093,1.36894,0.68638,0.50097,0.61893,0.30865,1.59127,2.1247,1.53231,0.0009415,0.0009415,0.0009415
15,54.5635,1.35696,2.07914,1.32178,0.39765,0.89649,0.69674,0.31697,1.60076,1.95124,1.58154,0.000937,0.000937,0.000937
16,58.1222,1.35204,2.08058,1.37879,0.39765,0.89649,0.69674,0.31697,1.60076,1.95124,1.58154,0.0009325,0.0009325,0.0009325
17,61.6982,1.27259,2.07653,1.31529,0.39765,0.89649,0.69674,0.31697,1.60076,1.95124,1.58154,0.000928,0.000928,0.000928
18,65.542,1.28605,1.9299,1.30999,0.40379,0.96984,0.71276,0.37839,1.4275,1.86743,1.49217,0.0009235,0.0009235,0.0009235
19,68.9664,1.26216,1.85661,1.30818,0.40379,0.96984,0.71276,0.37839,1.4275,1.86743,1.49217,0.000919,0.000919,0.000919
20,72.5193,1.34034,1.87463,1.33273,0.73418,0.59104,0.83728,0.48147,1.45949,1.77767,1.43484,0.0009145,0.0009145,0.0009145
21,76.2689,1.32514,1.91346,1.39575,0.73418,0.59104,0.83728,0.48147,1.45949,1.77767,1.43484,0.00091,0.00091,0.00091
22,80.0248,1.44261,1.97238,1.49827,0.38355,0.803,0.74181,0.36368,1.64647,1.86664,1.58486,0.0009055,0.0009055,0.0009055
23,83.3727,1.28482,1.8379,1.34502,0.38355,0.803,0.74181,0.36368,1.64647,1.86664,1.58486,0.000901,0.000901,0.000901
24,86.6895,1.29339,1.91606,1.31191,0.41619,0.97118,0.66775,0.35634,1.61696,1.89162,1.56374,0.0008965,0.0008965,0.0008965
25,90.0437,1.26014,1.91087,1.34538,0.41619,0.97118,0.66775,0.35634,1.61696,1.89162,1.56374,0.000892,0.000892,0.000892
26,93.6832,1.21287,1.77209,1.27288,0.41619,0.97118,0.66775,0.35634,1.61696,1.89162,1.56374,0.0008875,0.0008875,0.0008875
27,97.2647,1.3906,1.80333,1.31993,0.41928,0.94333,0.7287,0.47592,1.43978,1.83296,1.39855,0.000883,0.000883,0.000883
28,100.61,1.27178,1.84147,1.29631,0.41928,0.94333,0.7287,0.47592,1.43978,1.83296,1.39855,0.0008785,0.0008785,0.0008785
29,104.234,1.30258,1.68826,1.28924,0.51384,0.76465,0.78513,0.55316,1.23419,1.58983,1.28339,0.000874,0.000874,0.000874
30,107.653,1.21773,1.60696,1.26597,0.51384,0.76465,0.78513,0.55316,1.23419,1.58983,1.28339,0.0008695,0.0008695,0.0008695
31,111.15,1.25716,1.6376,1.29396,0.76254,0.64113,0.84847,0.55944,1.40284,1.61584,1.37379,0.000865,0.000865,0.000865
